Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1984-10-01,0.554335118813996,3.27748130254639,-2.7231461837324,-0.348684031682012,,,,,,,,,,,,,,,,,,,,,2.349679864186,,1984-10-01,5.10647206492862,3.36772407080092,1.7387479941277,-0.554570254453949
1985-01-01,0.224417698961274,3.57825508650506,-3.35383738754378,-0.361989659410028,,,,,,,,,,,,,,,,,,,,,2.60897072303873,,1985-01-01,5.48398770851002,3.37258877465753,2.1113989338525,0.280106840107749
1985-04-01,0.184764254782523,3.63429156169309,-3.44952730691056,-0.382252218106487,,,,,,,,,,,,,,,,,,,,,2.68082267421748,,1985-04-01,5.70323575244059,3.36292449508859,2.340311257352,0.449185685381167
1985-07-01,1.22080271207783,3.79313792601095,-2.57233521393312,-0.107927667425713,,,,,,,,,,,,,,,,,,,,,1.48334336992217,,1985-07-01,5.80356066714812,3.34948506477741,2.45407560237072,1.0087571590613
1985-10-01,1.49134480537184,3.84539369120789,-2.35404888583605,-0.0537753963528758,,,,,,,,,,,,,,,,,,,,,3.30449371662816,,1985-10-01,5.7573649799734,3.32581023700312,2.43155474297029,1.22605462456062
1986-01-01,2.44871496536721,3.65723073351836,-1.20851576815115,0.0807227657614362,,,,,,,,,,,,,,,,,,,,,1.60068902263279,,1986-01-01,5.72958911211052,3.29830279534288,2.43128631676763,0.757158317774213
1986-04-01,2.01469069928887,3.3748272066967,-1.36013650740783,-0.161923268426165,,,,,,,,,,,,,,,,,,,,,0.594856561711131,,1986-04-01,5.91889733097415,3.27839990270602,2.64049742826813,-0.124431585071761
1986-07-01,2.18462791082949,3.30028348514111,-1.11565557431162,-0.156530011880818,,,,,,,,,,,,,,,,,,,,,0.984868655170509,,1986-07-01,6.31890781341848,3.27243422342247,3.04647358999601,-0.350895692614017
1986-10-01,1.9455630744893,3.29717338164948,-1.35161030716018,-0.216414500724738,,,,,,,,,,,,,,,,,,,,,0.503246681510697,,1986-10-01,6.80424022470385,3.26970535356964,3.5345348711342,-0.38734819823577
1987-01-01,1.3604122927979,3.03536899790893,-1.67495670511103,-0.430182994345387,,,,,,,,,,,,,,,,,,,,,1.4639227832021,,1987-01-01,7.48916150143352,3.26794795887976,4.22121354255376,-1.22098121150009
1987-04-01,2.01162462493939,3.23024886987214,-1.21862424493275,-0.201395628223395,,,,,,,,,,,,,,,,,,,,,0.442198093060611,,1987-04-01,8.3031986000466,3.27952068073148,5.02367791931512,-0.641352032985139
1987-07-01,2.38886905587851,3.38913872140932,-1.00026966553081,-0.0572834201267938,,,,,,,,,,,,,,,,,,,,,0.528737004121485,,1987-07-01,9.00860041790862,3.2804944066238,5.72810601128483,-0.164009207009542
1987-10-01,2.37475056456831,3.67616406282431,-1.301413498256,0.0201828087334093,,,,,,,,,,,,,,,,,,,,,1.02169868843169,,1987-10-01,9.54382627690183,3.27210728784016,6.27171898906167,0.697015145231944
1988-01-01,3.3474789820814,3.88870583584929,-0.541226853767891,0.296272014897283,,,,,,,,,,,,,,,,,,,,,-0.114434874081398,,1988-01-01,9.83664324895347,3.24785548474202,6.58878776421145,1.42024130393293
1988-04-01,2.73646041343343,3.69165090902542,-0.95519049559199,0.0600737151335693,,,,,,,,,,,,,,,,,,,,,0.0354350375665731,,1988-04-01,10.1077484577274,3.21080119656777,6.89694726115958,0.84505097110582
1988-07-01,3.85881074213125,3.82892359236496,0.0298871497662929,0.357708837912526,,,,,,,,,,,,,,,,,,,,,-0.576961974131249,,1988-07-01,10.4131443867368,3.18201372593505,7.23113066080177,1.36591442871799
1988-10-01,4.42424616102662,3.80226387701695,0.621982284009672,0.468463030504211,,,,,,,,,,,,,,,,,,,,,-0.97163849402662,,1988-10-01,10.63751265141,3.14337448155674,7.4941381698533,1.38134400786629
