time,Y-Y*,Y*-Y*(-4),pi (= p-p(-1)),i
2008.1Q,1.832249893,0.84799349,0.370377379,0.126416667
2008.2Q,1.144352443,0.899269953,0.425134881,0.126666667
2008.3Q,-0.226485152,0.690369177,0.957691191,0.125166667
2008.4Q,-2.360669099,0.73254466,-0.749506495,0.08325
2009.1Q,-7.214167072,0.404709342,-0.692492117,0.027583333
2009.2Q,-6.879084671,0.362659386,-0.442096323,0.025833333
2009.3Q,-5.837318367,0.091032889,-0.42510085,0.025833333
2009.4Q,-4.683044268,0.076063206,-0.108843627,0.026
2010.1Q,-3.567585638,0.126868024,-0.003138375,0.0245
2010.2Q,-3.03597428,0.138934425,-0.508486996,0.02325
2010.3Q,-2.273633721,0.316813566,-0.521370732,0.023333333
2010.4Q,-2.31224557,0.316860823,0.22345552,0.022416667
2011.1Q,-2.977592636,0.315010436,-0.001638243,0.021916667
2011.2Q,-3.897410779,0.384022531,0.075291486,0.016666667
2011.3Q,-2.451226757,0.480851555,-0.104424083,0.0195
2011.4Q,-1.708779909,0.492814416,-0.141591748,0.019666667
2012.1Q,-1.202661779,0.41415918,0.246353515,0.02075
2012.2Q,-1.611168248,0.453242762,-0.052251438,0.019583333
2012.3Q,-2.370650204,0.23535793,-0.284611595,0.02125
2012.4Q,-2.401172355,0.259363024,-0.024028279,0.021083333
2013.1Q,-2.020337813,0.256587702,0.071870615,0.020666667
2013.2Q,-1.580208952,0.199529162,0.225056559,0.01825
2013.3Q,-1.073433756,0.19013326,0.446510024,0.018166667
2013.4Q,-0.183988078,0.193132334,0.342837768,0.018083333
2014.1Q,0.340154546,0.229187281,0.290038582,0.0185
2014.2Q,-0.047896912,0.229190718,0.378606904,0.016666667
2014.3Q,-0.225805952,0.273145617,0.336819028,0.01675
2014.4Q,0.035869238,0.273142724,-0.103532953,0.016
2015.1Q,0.224275946,0.29573854,-0.138603235,0.018333333
2015.2Q,-0.51450413,0.274674278,0.131194725,0.016833333
2015.3Q,-0.385823052,0.281131474,-0.090674481,0.018583333
2015.4Q,-0.425799226,0.257059017,-0.010728863,0.019083333
2016.1Q,-0.305011328,0.248588579,-0.115917787,0.008666667
2016.2Q,-0.670670108,0.245578209,-0.187746176,-0.012583333
