time,Y-Y*,Y*-Y*(-4),pi (= p-p(-1)),i
2008.1Q,0.018322499,0.008479935,0.003703774,0.505666667
2008.2Q,0.011443524,0.0089927,0.004251349,0.506666667
2008.3Q,-0.002264852,0.006903692,0.009576912,0.500666667
2008.4Q,-0.023606691,0.007325447,-0.007495065,0.333
2009.1Q,-0.072141671,0.004047093,-0.006924921,0.110333333
2009.2Q,-0.068790847,0.003626594,-0.004420963,0.103333333
2009.3Q,-0.058373184,0.000910329,-0.004251009,0.103333333
2009.4Q,-0.046830443,0.000760632,-0.001088436,0.104
2010.1Q,-0.035675856,0.00126868,-3.13838E-05,0.098
2010.2Q,-0.030359743,0.001389344,-0.00508487,0.093
2010.3Q,-0.022736337,0.003168136,-0.005213707,0.093333333
2010.4Q,-0.023122456,0.003168608,0.002234555,0.089666667
2011.1Q,-0.029775926,0.003150104,-1.63824E-05,0.087666667
2011.2Q,-0.038974108,0.003840225,0.000752915,0.066666667
2011.3Q,-0.024512268,0.004808516,-0.001044241,0.078
2011.4Q,-0.017087799,0.004928144,-0.001415917,0.078666667
2012.1Q,-0.012026618,0.004141592,0.002463535,0.083
2012.2Q,-0.016111682,0.004532428,-0.000522514,0.078333333
2012.3Q,-0.023706502,0.002353579,-0.002846116,0.085
2012.4Q,-0.024011724,0.00259363,-0.000240283,0.084333333
2013.1Q,-0.020203378,0.002565877,0.000718706,0.082666667
2013.2Q,-0.01580209,0.001995292,0.002250566,0.073
2013.3Q,-0.010734338,0.001901333,0.0044651,0.072666667
2013.4Q,-0.001839881,0.001931323,0.003428378,0.072333333
2014.1Q,0.003401545,0.002291873,0.002900386,0.074
2014.2Q,-0.000478969,0.002291907,0.003786069,0.066666667
2014.3Q,-0.00225806,0.002731456,0.00336819,0.067
2014.4Q,0.000358692,0.002731427,-0.00103533,0.064
2015.1Q,0.002242759,0.002957385,-0.001386032,0.073333333
2015.2Q,-0.005145041,0.002746743,0.001311947,0.067333333
2015.3Q,-0.003858231,0.002811315,-0.000906745,0.074333333
2015.4Q,-0.004257992,0.00257059,-0.000107289,0.076333333
2016.1Q,-0.003050113,0.002485886,-0.001159178,0.034666667
2016.2Q,-0.006706701,0.002455782,-0.001877462,-0.050333333
